PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
0, 475020630, 3.5464441776275635, 9.137158393859863, 33.83739471435547, 0, 0, 0, 0, 0, 0, 0.4208984375, 0.3642578125, -0.7431640625, 
1, 475028963, 3.544353485107422, 9.112102508544922, 33.8408088684082, -1.5857694149017334, 0.6162828803062439, 9.839533805847168, -0.3163358271121979, -2.9753754138946533, 0.5885511040687561, 0.4208984375, 0.364990234375, -0.7421875, 
2, 475037296, 3.5415873527526855, 9.086385726928711, 33.84352111816406, -1.5760964155197144, 0.6195833683013916, 9.807265281677246, -0.38201072812080383, -3.060593843460083, 0.5131940841674805, 0.42041015625, 0.363525390625, -0.73974609375, 
3, 475045629, 3.541149854660034, 9.058225631713867, 33.82502365112305, -1.556981086730957, 0.6282546520233154, 9.828112602233887, -0.4344174563884735, -3.0523972511291504, 0.5362212657928467, 0.41845703125, 0.3642578125, -0.73876953125, 
4, 475053962, 3.5386619567871094, 9.032919883728027, 33.827720642089844, -1.5782322883605957, 0.6186793446540833, 9.805112838745117, -0.3492244482040405, -3.011439800262451, 0.5065855383872986, 0.421875, 0.363525390625, -0.74365234375, 
5, 475062295, 3.5551822185516357, 9.000550270080566, 33.81199645996094, -1.577414870262146, 0.6091599464416504, 9.8424654006958, -0.32455796003341675, -2.9884896278381348, 0.5442384481430054, 0.42236328125, 0.362548828125, -0.7392578125, 
6, 475070628, 3.552403450012207, 8.97575855255127, 33.81432342529297, -1.5840349197387695, 0.6234081387519836, 9.841410636901855, -0.37716957926750183, -2.9524247646331787, 0.4591223895549774, 0.42333984375, 0.362060546875, -0.7392578125, 
7, 475078961, 3.560699462890625, 8.9589262008667, 33.87664794921875, -1.5836430788040161, 0.599252462387085, 9.823800086975098, -0.3457922041416168, -3.0622589588165283, 0.58360755443573, 0.42333984375, 0.361083984375, -0.74267578125, 
8, 475087294, 3.55887770652771, 8.933244705200195, 33.88042449951172, -1.5736784934997559, 0.600764274597168, 9.829989433288574, -0.2882882356643677, -3.047556161880493, 0.6375767588615417, 0.421875, 0.362548828125, -0.73876953125, 
9, 475095627, 3.561030864715576, 8.926528930664062, 33.94933319091797, -1.5802351236343384, 0.618796169757843, 9.825305938720703, -0.29848265647888184, -3.0491437911987305, 0.49992576241493225, 0.4189453125, 0.36279296875, -0.73974609375, 
10, 475103960, 3.558241844177246, 8.900362014770508, 33.95210266113281, -1.5941716432571411, 0.6056135296821594, 9.837103843688965, -0.38531494140625, -3.113077163696289, 0.5230811238288879, 0.42236328125, 0.365966796875, -0.73876953125, 
11, 475112293, 3.555941581726074, 8.892741203308105, 33.95792007446289, -1.5766818523406982, 0.6142582893371582, 9.876224517822266, -0.47378647327423096, -3.1802120208740234, 0.5560978651046753, 0.42138671875, 0.362548828125, -0.740234375, 
12, 475120626, 3.553162097930908, 8.865121841430664, 33.961326599121094, -1.590868353843689, 0.6046966314315796, 9.813002586364746, -0.3966364562511444, -3.2819268703460693, 0.6082741618156433, 0.4228515625, 0.364501953125, -0.740234375, 
13, 475128959, 3.5498828887939453, 8.857955932617188, 33.99245834350586, -1.5748567581176758, 0.6023541688919067, 9.852179527282715, -0.4327012896537781, -3.250779628753662, 0.6018449068069458, 0.41845703125, 0.36376953125, -0.740234375, 
14, 475137292, 3.546572685241699, 8.83084774017334, 33.99467849731445, -1.5577889680862427, 0.5890604853630066, 9.788772583007812, -0.43810588121414185, -3.2310307025909424, 0.46416833996772766, 0.42138671875, 0.365478515625, -0.74169921875, 
15, 475145625, 3.5419790744781494, 8.825335502624512, 33.99265670776367, -1.5603218078613281, 0.6068787574768066, 9.791458129882812, -0.4066515564918518, -3.0802652835845947, 0.5198793411254883, 0.41943359375, 0.3642578125, -0.740234375, 
16, 475153958, 3.539170980453491, 8.799760818481445, 33.99449920654297, -1.566460371017456, 0.6100669503211975, 9.836251258850098, -0.37102222442626953, -3.050758123397827, 0.4082525372505188, 0.42041015625, 0.364501953125, -0.7392578125, 
17, 475162291, 3.5338082313537598, 8.793440818786621, 34.00202178955078, -1.5620324611663818, 0.6132423281669617, 9.82235050201416, -0.4064467251300812, -2.836008310317993, 0.5216724276542664, 0.4189453125, 0.36474609375, -0.74169921875, 
18, 475170624, 3.531330108642578, 8.767895698547363, 34.00436782836914, -1.5725802183151245, 0.601894736289978, 9.841436386108398, -0.3412584364414215, -3.0425868034362793, 0.4655002951622009, 0.41943359375, 0.3603515625, -0.7373046875, 
19, 475178957, 3.5275604724884033, 8.756794929504395, 34.00648498535156, -1.5597164630889893, 0.6088759899139404, 9.785295486450195, -0.39174410700798035, -3.2114617824554443, 0.5639870762825012, 0.41796875, 0.36376953125, -0.73876953125, 
20, 475187290, 3.5245296955108643, 8.729840278625488, 34.00962829589844, -1.5857008695602417, 0.6120805144309998, 9.837646484375, -0.4212261140346527, -3.2065436840057373, 0.5723373293876648, 0.41796875, 0.36181640625, -0.7392578125, 
21, 475195623, 3.520833969116211, 8.717923164367676, 34.0162353515625, -1.5797114372253418, 0.6025095582008362, 9.796269416809082, -0.4038596749305725, -3.275318145751953, 0.4542044401168823, 0.419921875, 0.3623046875, -0.73974609375, 
22, 475203956, 3.5191292762756348, 8.69035530090332, 34.019195556640625, -1.580147385597229, 0.5911324620246887, 9.830059051513672, -0.2574230432510376, -3.280466318130493, 0.5550476312637329, 0.42041015625, 0.3642578125, -0.74365234375, 
23, 475212289, 3.5174596309661865, 8.678239822387695, 34.04905700683594, -1.5609569549560547, 0.6018998026847839, 9.821510314941406, -0.22955478727817535, -3.4264166355133057, 0.5842735171318054, 0.4208984375, 0.36279296875, -0.7431640625, 
24, 475220622, 3.5154826641082764, 8.651463508605957, 34.05211639404297, -1.566752552986145, 0.6071504950523376, 9.827964782714844, -0.2917461395263672, -3.185360908508301, 0.560221791267395, 0.4228515625, 0.363037109375, -0.74365234375, 
25, 475228955, 3.5127756595611572, 8.640573501586914, 34.07841491699219, -1.5751986503601074, 0.5940947532653809, 9.816036224365234, -0.2917717695236206, -3.2394323348999023, 0.5585312843322754, 0.419921875, 0.36376953125, -0.73876953125, 
26, 475237288, 3.5112428665161133, 8.613177299499512, 34.082000732421875, -1.5541046857833862, 0.6194562315940857, 9.809295654296875, -0.2487654685974121, -3.2559025287628174, 0.6254869103431702, 0.42333984375, 0.363037109375, -0.73876953125, 
27, 475245621, 3.509160041809082, 8.602803230285645, 34.10444259643555, -1.5862116813659668, 0.6010425090789795, 9.79405689239502, -0.2324235439300537, -3.1657912731170654, 0.6008459329605103, 0.419921875, 0.36083984375, -0.73779296875, 
28, 475253954, 3.507260322570801, 8.57624340057373, 34.1071891784668, -1.568544626235962, 0.6153869032859802, 9.811132431030273, -0.27727413177490234, -3.160745143890381, 0.5192133188247681, 0.41943359375, 0.3642578125, -0.7392578125, 
