PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
0, 662132045, 4.842206954956055, 5.875175476074219, 32.31858444213867, 0, 0, 0, 0, 0, 0, 0.36328125, 0.34814453125, -0.756591796875, 
1, 662140378, 4.839620113372803, 5.846579074859619, 32.32185363769531, -1.0078176259994507, 0.8153151273727417, 9.822278022766113, -0.35083821415901184, -3.3868424892425537, 0.6786620020866394, 0.365234375, 0.3486328125, -0.759033203125, 
2, 662148711, 4.836774826049805, 5.818422317504883, 32.325469970703125, -1.0009468793869019, 0.8331913948059082, 9.8630952835083, -0.3852124810218811, -3.331080198287964, 0.7147780656814575, 0.36279296875, 0.3515625, -0.757568359375, 
3, 662157044, 4.831346035003662, 5.785338401794434, 32.365379333496094, -0.9943190813064575, 0.834560751914978, 9.827006340026855, -0.42294228076934814, -3.285205125808716, 0.6984105706214905, 0.36328125, 0.349609375, -0.761474609375, 
4, 662165377, 4.828325271606445, 5.759558200836182, 32.36788558959961, -0.9930281043052673, 0.8248695731163025, 9.823895454406738, -0.3919233977794647, -3.0573151111602783, 0.5574042201042175, 0.36279296875, 0.34912109375, -0.759033203125, 
5, 662173710, 4.82616662979126, 5.723711967468262, 32.360328674316406, -0.9827994108200073, 0.8207098841667175, 9.877470016479492, -0.36069968342781067, -2.922917366027832, 0.5819938778877258, 0.3623046875, 0.35009765625, -0.758544921875, 
6, 662182043, 4.823188304901123, 5.697385787963867, 32.363033294677734, -1.0098276138305664, 0.8203131556510925, 9.876215934753418, -0.3902585208415985, -3.1196091175079346, 0.5885511040687561, 0.365234375, 0.3486328125, -0.759033203125, 
7, 662190376, 4.8129472732543945, 5.660183429718018, 32.35721206665039, -0.9907799363136292, 0.8345053791999817, 9.8565034866333, -0.38367563486099243, -3.2163541316986084, 0.619672417640686, 0.3623046875, 0.35009765625, -0.756591796875, 
8, 662198709, 4.809708595275879, 5.633462429046631, 32.35955810546875, -0.996861457824707, 0.8248382210731506, 9.893699645996094, -0.4166155159473419, -3.172041177749634, 0.5492588877677917, 0.36376953125, 0.35009765625, -0.758056640625, 
9, 662207042, 4.800725936889648, 5.610227108001709, 32.37095642089844, -0.995904266834259, 0.8407648801803589, 9.897903442382812, -0.4868498146533966, -3.188459873199463, 0.64290452003479, 0.36328125, 0.34814453125, -0.760498046875, 
10, 662215375, 4.797187805175781, 5.582076549530029, 32.37288284301758, -1.0152760744094849, 0.8384121656417847, 9.871081352233887, -0.44635364413261414, -3.347421646118164, 0.5115802884101868, 0.36474609375, 0.35205078125, -0.760009765625, 
11, 662223708, 4.7913899421691895, 5.562501907348633, 32.40763473510742, -1.0288203954696655, 0.8378780484199524, 9.857100486755371, -0.4687148928642273, -3.29009747505188, 0.6936207413673401, 0.359375, 0.35107421875, -0.758056640625, 
12, 662232041, 4.787433624267578, 5.53482723236084, 32.41118240356445, -1.0018566846847534, 0.8189082741737366, 9.888605117797852, -0.5162037014961243, -3.275343894958496, 0.7003573179244995, 0.36181640625, 0.3505859375, -0.760986328125, 
13, 662240374, 4.7853240966796875, 5.525078296661377, 32.393150329589844, -0.999006450176239, 0.8036308884620667, 9.887306213378906, -0.5262956619262695, -3.429413080215454, 0.6609880924224854, 0.3623046875, 0.3525390625, -0.759521484375, 
14, 662248707, 4.781703948974609, 5.49656867980957, 32.39630126953125, -0.9922373294830322, 0.8304890394210815, 9.86956787109375, -0.47053349018096924, -3.378645420074463, 0.6607832312583923, 0.361328125, 0.34765625, -0.759033203125, 
15, 662257040, 4.775146007537842, 5.48645544052124, 32.400917053222656, -0.9800068140029907, 0.8335268497467041, 9.868213653564453, -0.5166391730308533, -3.403184175491333, 0.6134481430053711, 0.36181640625, 0.3515625, -0.761474609375, 
16, 662265373, 4.771095275878906, 5.458735942840576, 32.40328598022461, -1.0061941146850586, 0.8274182677268982, 9.858059883117676, -0.5134885311126709, -3.291685104370117, 0.5593764185905457, 0.3623046875, 0.35107421875, -0.760009765625, 
17, 662273706, 4.767031669616699, 5.447669506072998, 32.41153335571289, -1.0013904571533203, 0.8341203331947327, 9.854941368103027, -0.4671267867088318, -3.219632387161255, 0.6477199196815491, 0.36376953125, 0.349609375, -0.758544921875, 
