PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
0, 448951819, 6.725473880767822, 29.14514923095703, 23.180744171142578, 0, 0, 0, 0, 0, 0, 0.658447265625, 0.40576171875, -0.747314453125, 0, 
1, 448960152, 6.721262454986572, 29.120101928710938, 23.182218551635742, -4.864991188049316, 1.0366154909133911, 8.653375625610352, -0.591740071773529, -2.9671788215637207, 0.504895031452179, 0.659912109375, 0.40576171875, -0.745849609375, 0, 
2, 448968485, 6.716224193572998, 29.093597412109375, 23.18206787109375, -4.861306190490723, 1.02703857421875, 8.653665542602539, -0.5951979756355286, -3.1605916023254395, 0.35733139514923096, 0.658447265625, 0.40625, -0.746826171875, 0, 
3, 448976818, 6.732543468475342, 29.063613891601562, 23.234121322631836, -4.873711585998535, 0.9935111999511719, 8.661545753479004, -0.6378969550132751, -3.0884368419647217, 0.2786957025527954, 0.661376953125, 0.40869140625, -0.745849609375, 0, 
4, 448985151, 6.72744607925415, 29.037174224853516, 23.23407745361328, -4.877100467681885, 1.0241066217422485, 8.674821853637695, -0.6082612872123718, -3.152420997619629, 0.36716729402542114, 0.657958984375, 0.40478515625, -0.745361328125, 0, 
5, 448993484, 6.71386194229126, 29.027002334594727, 23.273740768432617, -4.840170860290527, 1.0254733562469482, 8.658714294433594, -0.5982460379600525, -3.132774829864502, 0.48519769310951233, 0.655517578125, 0.404296875, -0.745361328125, 0, 
6, 449001817, 6.706897735595703, 29.000621795654297, 23.273218154907227, -4.812394142150879, 1.0523295402526855, 8.659102439880371, -0.8051322102546692, -3.150678873062134, 0.3150934875011444, 0.660400390625, 0.404296875, -0.745361328125, 0, 
7, 449010150, 6.700857639312744, 28.98890495300293, 23.271427154541016, -4.857807159423828, 0.9894148707389832, 8.65429401397705, -0.6705294251441956, -3.0999627113342285, 0.38202351331710815, 0.657470703125, 0.4052734375, -0.748779296875, 0, 
8, 449018483, 6.694788455963135, 28.963653564453125, 23.27178192138672, -4.866558074951172, 1.0052467584609985, 8.671333312988281, -0.7491651177406311, -3.004883050918579, 0.3921155631542206, 0.659912109375, 0.408203125, -0.743896484375, 0, 
9, 449026816, 6.691427230834961, 28.944299697875977, 23.273273468017578, -4.838952541351318, 1.0266573429107666, 8.669756889343262, -0.6278305053710938, -3.132774829864502, 0.4195740222930908, 0.658935546875, 0.40673828125, -0.747802734375, 0, 
10, 449035149, 6.6857123374938965, 28.91757583618164, 23.27410125732422, -4.840409278869629, 1.016935110092163, 8.6885404586792, -0.7342833280563354, -3.1753714084625244, 0.46083852648735046, 0.659423828125, 0.4072265625, -0.748779296875, 0, 
11, 449043482, 6.681268692016602, 28.90056610107422, 23.29433250427246, -4.858342170715332, 1.001809000968933, 8.6836576461792, -0.612820565700531, -3.2049553394317627, 0.5162164568901062, 0.659912109375, 0.4091796875, -0.746337890625, 0, 
12, 449051815, 6.675718784332275, 28.872238159179688, 23.29417610168457, -4.861791133880615, 1.0160337686538696, 8.662230491638184, -0.6575942635536194, -3.3786203861236572, 0.3785399794578552, 0.661376953125, 0.40771484375, -0.743408203125, 0, 
13, 449060148, 6.6668901443481445, 28.853355407714844, 23.319677352905273, -4.8555755615234375, 1.0209414958953857, 8.677512168884277, -0.7197600603103638, -3.393399715423584, 0.41478416323661804, 0.658447265625, 0.4052734375, -0.746826171875, 0, 
14, 449068481, 6.661640167236328, 28.82518196105957, 23.32033920288086, -4.856835842132568, 1.0258803367614746, 8.65993595123291, -0.6687621474266052, -3.3508288860321045, 0.46053117513656616, 0.661865234375, 0.4052734375, -0.746337890625, 0, 
15, 449076814, 6.656932830810547, 28.810104370117188, 23.351673126220703, -4.832358360290527, 1.0107735395431519, 8.66770076751709, -0.518022358417511, -3.385331153869629, 0.450080543756485, 0.659912109375, 0.4033203125, -0.744873046875, 0, 
16, 449085147, 6.651432514190674, 28.78120231628418, 23.352100372314453, -4.84644889831543, 0.9993982911109924, 8.666619300842285, -0.685257613658905, -3.440990686416626, 0.4474678635597229, 0.659912109375, 0.4052734375, -0.747314453125, 0, 
17, 449093480, 6.6473002433776855, 28.765947341918945, 23.405792236328125, -4.849246025085449, 1.0135208368301392, 8.682032585144043, -0.6326460838317871, -3.4754676818847656, 0.48816895484924316, 0.659423828125, 0.40625, -0.746826171875, 0, 
18, 449101813, 6.642825603485107, 28.736791610717773, 23.407114028930664, -4.863173961639404, 1.0168036222457886, 8.675605773925781, -0.6126925349235535, -3.4591257572174072, 0.5438286066055298, 0.657958984375, 0.40478515625, -0.747802734375, 0, 
19, 449110146, 6.638086318969727, 28.720922470092773, 23.439485549926758, -4.8258843421936035, 1.0255473852157593, 8.670473098754883, -0.5607723593711853, -3.5984668731689453, 0.45166856050491333, 0.658935546875, 0.40673828125, -0.746826171875, 0, 
20, 449118479, 6.633607864379883, 28.691057205200195, 23.4404239654541, -4.817241668701172, 1.0452297925949097, 8.7042236328125, -0.5899471044540405, -3.5476744174957275, 0.5125024318695068, 0.657470703125, 0.40576171875, -0.747314453125, 0, 
21, 449126812, 6.628840923309326, 28.6761531829834, 23.467615127563477, -4.8424835205078125, 1.0082529783248901, 8.664942741394043, -0.6680192947387695, -3.509688377380371, 0.32277780771255493, 0.657470703125, 0.40185546875, -0.749755859375, 0, 
22, 449135145, 6.624174118041992, 28.647911071777344, 23.467525482177734, -4.8360772132873535, 1.0186880826950073, 8.665739059448242, -0.5544713735580444, -3.3672473430633545, 0.3813319206237793, 0.657958984375, 0.40673828125, -0.746826171875, 0, 
23, 449143478, 6.62209415435791, 28.633087158203125, 23.495014190673828, -4.844634056091309, 1.0054761171340942, 8.666489601135254, -0.5962993502616882, -3.3116133213043213, 0.5062268972396851, 0.658935546875, 0.404296875, -0.747314453125, 0, 
24, 449151811, 6.618852138519287, 28.604684829711914, 23.496362686157227, -4.847538948059082, 0.9996519088745117, 8.683609962463379, -0.4666658043861389, -3.3708078861236572, 0.5348637104034424, 0.659423828125, 0.4033203125, -0.746826171875, 0, 
25, 449160144, 6.61718225479126, 28.589519500732422, 23.53010368347168, -4.859464168548584, 1.0323578119277954, 8.702803611755371, -0.545224666595459, -3.429771900177002, 0.5615281462669373, 0.660888671875, 0.40576171875, -0.747802734375, 0, 
26, 449168477, 6.613297462463379, 28.558900833129883, 23.5313720703125, -4.840950965881348, 1.017496109008789, 8.673885345458984, -0.5388978719711304, -3.636350393295288, 0.5563283562660217, 0.656982421875, 0.40576171875, -0.746337890625, 0, 
27, 449176810, 6.611523151397705, 28.543428421020508, 23.568603515625, -4.833885669708252, 1.046390414237976, 8.707743644714355, -0.5112857818603516, -3.5346622467041016, 0.5021286606788635, 0.658447265625, 0.40576171875, -0.750244140625, 0, 
28, 449185143, 6.608443737030029, 28.513338088989258, 23.570114135742188, -4.868373394012451, 1.0133720636367798, 8.675983428955078, -0.4550880789756775, -3.5692410469055176, 0.5738484263420105, 0.659912109375, 0.40478515625, -0.742919921875, 0, 
29, 449193476, 6.6080803871154785, 28.496850967407227, 23.5919246673584, -4.86220121383667, 1.0242118835449219, 8.662089347839355, -0.47483667731285095, -3.6052803993225098, 0.5657544136047363, 0.656494140625, 0.40771484375, -0.746826171875, 0, 
30, 449201809, 6.604174613952637, 28.466171264648438, 23.5931453704834, -4.849629878997803, 1.02567720413208, 8.704862594604492, -0.5389491319656372, -3.6445467472076416, 0.5514360666275024, 0.656494140625, 0.40283203125, -0.748779296875, 0, 
31, 449210142, 6.604215621948242, 28.4499454498291, 23.61422348022461, -4.851659774780273, 1.0126807689666748, 8.691609382629395, -0.44028306007385254, -3.7447497844696045, 0.6029719114303589, 0.659912109375, 0.4052734375, -0.748779296875, 0, 
32, 449218475, 6.600709438323975, 28.418319702148438, 23.615947723388672, -4.843012809753418, 1.0271135568618774, 8.703446388244629, -0.518867552280426, -3.7496163845062256, 0.616701066493988, 0.657958984375, 0.40576171875, -0.747314453125, 0, 
33, 449226808, 6.599570274353027, 28.401142120361328, 23.65168571472168, -4.8457183837890625, 1.0690386295318604, 8.691736221313477, -0.5439695119857788, -3.867544174194336, 0.5724908709526062, 0.656494140625, 0.40673828125, -0.748291015625, 0, 
34, 449235141, 6.59617280960083, 28.36910057067871, 23.65266990661621, -4.842708587646484, 1.0102109909057617, 8.69258975982666, -0.4637969434261322, -3.80696702003479, 0.5456216335296631, 0.655029296875, 0.40576171875, -0.746337890625, 0, 
